location_id,plot_id,treatment_id,replication,plot_label,observation_day,date_of_observation,plant_count_1m,plant_count_5m,plant_count_15m,number_of_node,node_length_cm,millable_cane_count,cane_girth_cm,number_of_tillers,number_of_leaves,plant_height_cm,leaf_length_cm,leaf_breadth_cm,germination_pct,source_file,source_sheet
L003,P035,T2,,B,40,13.02.2026,,,,7.0,,,,3.0,5.0,82.0,54.0,2.3,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P035,T2,,B,40,13.02.2026,,,,6.0,,,,2.0,6.0,70.0,62.0,2.2,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P035,T2,,B,40,13.02.2026,,,,5.0,,,,4.0,5.0,76.0,57.0,2.4,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P036,T3,,C,40,13.02.2026,,,,6.0,,,,4.0,5.0,75.0,50.0,2.8,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P036,T3,,C,40,13.02.2026,,,,5.0,,,,3.0,6.0,79.0,56.0,2.5,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P036,T3,,C,40,13.02.2026,,,,7.0,,,,2.0,6.0,80.0,63.0,2.4,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P036,T3,,C,40,13.02.2026,,,,5.0,,,,3.0,5.0,82.0,61.0,2.3,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P036,T3,,C,40,13.02.2026,,,,6.0,,,,2.0,5.0,83.0,60.0,2.5,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P037,T4,,D,40,13.02.2026,,,,6.0,,,,4.0,6.0,68.0,65.0,2.2,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P037,T4,,D,40,13.02.2026,,,,5.0,,,,2.0,7.0,72.0,62.0,2.3,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P037,T4,,D,40,13.02.2026,,,,6.0,,,,2.0,6.0,65.0,63.0,2.9,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P037,T4,,D,40,13.02.2026,,,,7.0,,,,3.0,5.0,66.0,60.0,2.5,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P037,T4,,D,40,13.02.2026,,,,6.0,,,,2.0,6.0,72.0,64.0,2.2,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P038,T5,,E,40,13.02.2026,,,,6.0,,,,3.0,6.0,102.0,75.0,2.5,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P038,T5,,E,40,13.02.2026,,,,5.0,,,,2.0,5.0,97.0,73.0,2.7,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P038,T5,,E,40,13.02.2026,,,,6.0,,,,4.0,6.0,94.0,77.0,2.9,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P038,T5,,E,40,13.02.2026,,,,8.0,,,,3.0,6.0,96.0,78.0,3.1,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P038,T5,,E,40,13.02.2026,,,,6.0,,,,4.0,5.0,99.0,80.0,2.8,,anthiyur_biometric_observations.xlsx,40 DAY
L003,P034,T1,,A,50,23.02.2026,,,,,,78.0,,6.0,6.0,103.0,89.0,3.0,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P034,T1,,A,50,23.02.2026,,,,,,77.0,,9.0,9.0,118.0,91.0,2.8,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P034,T1,,A,50,23.02.2026,,,,,,75.0,,7.0,7.0,105.0,85.0,2.9,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P034,T1,,A,50,23.02.2026,,,,,,67.0,,6.0,8.0,111.0,93.0,3.1,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P034,T1,,A,50,23.02.2026,,,,,,65.0,,9.0,8.0,114.0,90.0,2.5,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P035,T2,,B,50,23.02.2026,,,,,,54.0,,5.0,6.0,95.0,79.0,2.2,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P035,T2,,B,50,23.02.2026,,,,,,56.0,,4.0,7.0,90.0,81.0,2.5,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P035,T2,,B,50,23.02.2026,,,,,,59.0,,6.0,8.0,92.0,76.0,2.1,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P035,T2,,B,50,23.02.2026,,,,,,62.0,,5.0,7.0,89.0,83.0,2.3,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P035,T2,,B,50,23.02.2026,,,,,,57.0,,3.0,8.0,96.0,78.0,2.2,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P036,T3,,C,50,23.02.2026,,,,,,57.0,,4.0,7.0,89.0,73.0,2.2,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P036,T3,,C,50,23.02.2026,,,,,,55.0,,3.0,8.0,92.0,79.0,2.4,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P036,T3,,C,50,23.02.2026,,,,,,59.0,,2.0,6.0,95.0,77.0,2.9,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P036,T3,,C,50,23.02.2026,,,,,,57.0,,4.0,7.0,87.0,82.0,2.8,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P036,T3,,C,50,23.02.2026,,,,,,54.0,,5.0,8.0,80.0,88.0,2.5,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P037,T4,,D,50,23.02.2026,,,,,,55.0,,5.0,7.0,82.0,69.0,2.1,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P037,T4,,D,50,23.02.2026,,,,,,57.0,,2.0,6.0,92.0,71.0,1.9,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P037,T4,,D,50,23.02.2026,,,,,,53.0,,3.0,8.0,85.0,72.0,2.0,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P037,T4,,D,50,23.02.2026,,,,,,59.0,,5.0,7.0,80.0,75.0,2.2,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P037,T4,,D,50,23.02.2026,,,,,,53.0,,3.0,6.0,79.0,79.0,2.5,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P038,T5,,E,50,23.02.2026,,,,,,69.0,,5.0,6.0,115.0,89.0,3.0,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P038,T5,,E,50,23.02.2026,,,,,,71.0,,4.0,8.0,120.0,82.0,2.9,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P038,T5,,E,50,23.02.2026,,,,,,65.0,,7.0,7.0,107.0,89.0,2.8,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P038,T5,,E,50,23.02.2026,,,,,,68.0,,6.0,8.0,101.0,90.0,2.5,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P038,T5,,E,50,23.02.2026,,,,,,73.0,,4.0,7.0,99.0,97.0,2.8,,anthiyur_biometric_observations.xlsx,50 DAY
L003,P034,T1,,A,60,05.03.2026,,,,,,,,9.0,10.0,140.0,100.0,3.2,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P034,T1,,A,60,05.03.2026,,,,,,,,12.0,9.0,160.0,113.0,2.9,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P034,T1,,A,60,05.03.2026,,,,,,,,11.0,8.0,135.0,106.0,2.5,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P034,T1,,A,60,05.03.2026,,,,,,,,7.0,9.0,130.0,117.0,3.2,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P034,T1,,A,60,05.03.2026,,,,,,,,9.0,9.0,132.0,109.0,3.0,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P035,T2,,B,60,05.03.2026,,,,,,,,6.0,8.0,130.0,100.0,2.2,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P035,T2,,B,60,05.03.2026,,,,,,,,9.0,9.0,125.0,97.0,2.4,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P035,T2,,B,60,05.03.2026,,,,,,,,7.0,8.0,132.0,94.0,2.0,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P035,T2,,B,60,05.03.2026,,,,,,,,6.0,8.0,120.0,103.0,2.7,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P035,T2,,B,60,05.03.2026,,,,,,,,7.0,7.0,107.0,98.0,2.5,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P036,T3,,C,60,05.03.2026,,,,,,,,5.0,7.0,105.0,95.0,2.3,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P036,T3,,C,60,05.03.2026,,,,,,,,7.0,8.0,112.0,92.0,2.8,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P036,T3,,C,60,05.03.2026,,,,,,,,4.0,9.0,115.0,99.0,2.9,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P036,T3,,C,60,05.03.2026,,,,,,,,8.0,8.0,119.0,105.0,2.6,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P036,T3,,C,60,05.03.2026,,,,,,,,5.0,9.0,108.0,89.0,2.3,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P037,T4,,D,60,05.03.2026,,,,,,,,2.0,7.0,110.0,69.0,1.9,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P037,T4,,D,60,05.03.2026,,,,,,,,4.0,9.0,115.0,89.0,2.1,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P037,T4,,D,60,05.03.2026,,,,,,,,5.0,8.0,107.0,85.0,2.0,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P037,T4,,D,60,05.03.2026,,,,,,,,8.0,7.0,89.0,87.0,2.3,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P037,T4,,D,60,05.03.2026,,,,,,,,6.0,9.0,98.0,91.0,2.8,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P038,T5,,E,60,05.03.2026,,,,,,,,9.0,9.0,140.0,103.0,2.8,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P038,T5,,E,60,05.03.2026,,,,,,,,7.0,8.0,135.0,112.0,3.2,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P038,T5,,E,60,05.03.2026,,,,,,,,5.0,9.0,127.0,109.0,2.3,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P038,T5,,E,60,05.03.2026,,,,,,,,8.0,9.0,117.0,108.0,2.9,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P038,T5,,E,60,05.03.2026,,,,,,,,11.0,8.0,136.0,111.0,3.0,,anthiyur_biometric_observations.xlsx,60 DAY
L003,P034,T1,,A,70,15.03.2026,,,,,,,,8.0,7.0,145.0,112.0,3.3,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P034,T1,,A,70,15.03.2026,,,,,,,,7.0,8.0,152.0,119.0,3.0,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P034,T1,,A,70,15.03.2026,,,,,,,,5.0,9.0,159.0,115.0,2.9,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P034,T1,,A,70,15.03.2026,,,,,,,,6.0,8.0,148.0,114.0,2.5,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P034,T1,,A,70,15.03.2026,,,,,,,,9.0,9.0,155.0,108.0,2.7,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P035,T2,,B,70,15.03.2026,,,,,,,,5.0,7.0,127.0,102.0,3.0,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P035,T2,,B,70,15.03.2026,,,,,,,,7.0,8.0,145.0,109.0,2.7,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P035,T2,,B,70,15.03.2026,,,,,,,,6.0,9.0,152.0,112.0,2.6,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P035,T2,,B,70,15.03.2026,,,,,,,,5.0,9.0,139.0,107.0,2.7,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P035,T2,,B,70,15.03.2026,,,,,,,,9.0,8.0,135.0,105.0,2.6,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P036,T3,,C,70,15.03.2026,,,,,,,,9.0,9.0,125.0,98.0,2.6,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P036,T3,,C,70,15.03.2026,,,,,,,,7.0,8.0,143.0,99.0,2.3,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P036,T3,,C,70,15.03.2026,,,,,,,,6.0,9.0,152.0,97.0,3.0,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P036,T3,,C,70,15.03.2026,,,,,,,,5.0,8.0,128.0,108.0,2.7,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P036,T3,,C,70,15.03.2026,,,,,,,,8.0,8.0,139.0,113.0,2.9,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P037,T4,,D,70,15.03.2026,,,,,,,,6.0,9.0,105.0,88.0,2.4,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P037,T4,,D,70,15.03.2026,,,,,,,,5.0,8.0,98.0,75.0,2.1,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P037,T4,,D,70,15.03.2026,,,,,,,,4.0,7.0,103.0,72.0,2.7,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P037,T4,,D,70,15.03.2026,,,,,,,,5.0,8.0,125.0,83.0,2.6,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P037,T4,,D,70,15.03.2026,,,,,,,,6.0,7.0,117.0,85.0,2.5,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P038,T5,,E,70,15.03.2026,,,,,,,,9.0,9.0,135.0,110.0,2.8,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P038,T5,,E,70,15.03.2026,,,,,,,,8.0,10.0,128.0,115.0,3.2,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P038,T5,,E,70,15.03.2026,,,,,,,,8.0,9.0,139.0,105.0,3.0,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P038,T5,,E,70,15.03.2026,,,,,,,,6.0,8.0,143.0,102.0,2.9,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P038,T5,,E,70,15.03.2026,,,,,,,,10.0,9.0,138.0,95.0,2.6,,anthiyur_biometric_observations.xlsx,70 DAY
L003,P034,T1,,A,80,25.03.2026,,,,,,,,12.0,10.0,176.0,133.0,3.8,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P034,T1,,A,80,25.03.2026,,,,,,,,6.0,9.0,185.0,127.0,3.0,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P034,T1,,A,80,25.03.2026,,,,,,,,7.0,9.0,180.0,123.0,3.1,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P034,T1,,A,80,25.03.2026,,,,,,,,9.0,8.0,170.0,128.0,3.3,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P034,T1,,A,80,25.03.2026,,,,,,,,8.0,10.0,165.0,135.0,2.9,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P035,T2,,B,80,25.03.2026,,,,,,,,6.0,9.0,120.0,135.0,2.8,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P035,T2,,B,80,25.03.2026,,,,,,,,5.0,9.0,168.0,115.0,2.6,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P035,T2,,B,80,25.03.2026,,,,,,,,5.0,8.0,162.0,121.0,3.0,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P035,T2,,B,80,25.03.2026,,,,,,,,7.0,8.0,146.0,123.0,3.2,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P035,T2,,B,80,25.03.2026,,,,,,,,9.0,10.0,149.0,119.0,3.1,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P036,T3,,C,80,25.03.2026,,,,,,,,8.0,8.0,175.0,117.0,3.1,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P036,T3,,C,80,25.03.2026,,,,,,,,5.0,9.0,163.0,113.0,2.3,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P036,T3,,C,80,25.03.2026,,,,,,,,4.0,9.0,189.0,131.0,2.9,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P036,T3,,C,80,25.03.2026,,,,,,,,7.0,8.0,154.0,125.0,2.5,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P036,T3,,C,80,25.03.2026,,,,,,,,5.0,9.0,164.0,106.0,3.0,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P037,T4,,D,80,25.03.2026,,,,,,,,5.0,10.0,151.0,111.0,2.5,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P037,T4,,D,80,25.03.2026,,,,,,,,4.0,7.0,147.0,129.0,3.1,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P037,T4,,D,80,25.03.2026,,,,,,,,5.0,9.0,169.0,95.0,2.7,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P037,T4,,D,80,25.03.2026,,,,,,,,8.0,8.0,160.0,101.0,2.4,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P037,T4,,D,80,25.03.2026,,,,,,,,6.0,9.0,155.0,99.0,2.9,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P038,T5,,E,80,25.03.2026,,,,,,,,6.0,9.0,162.0,109.0,3.6,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P038,T5,,E,80,25.03.2026,,,,,,,,9.0,9.0,169.0,101.0,3.2,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P038,T5,,E,80,25.03.2026,,,,,,,,6.0,10.0,183.0,133.0,2.9,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P038,T5,,E,80,25.03.2026,,,,,,,,8.0,9.0,189.0,120.0,3.1,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P038,T5,,E,80,25.03.2026,,,,,,,,5.0,8.0,172.0,132.0,2.8,,anthiyur_biometric_observations.xlsx,80 DAY
L003,P034,T1,,A,90,04.04.2026,,,,,,,,12.0,9.0,230.0,124.0,4.4,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P034,T1,,A,90,04.04.2026,,,,,,,,7.0,10.0,205.0,135.0,4.0,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P034,T1,,A,90,04.04.2026,,,,,,,,9.0,9.0,215.0,130.0,3.5,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P034,T1,,A,90,04.04.2026,,,,,,,,5.0,8.0,202.0,142.0,3.7,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P034,T1,,A,90,04.04.2026,,,,,,,,6.0,9.0,195.0,120.0,3.0,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P035,T2,,B,90,04.04.2026,,,,,,,,10.0,9.0,210.0,125.0,3.0,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P035,T2,,B,90,04.04.2026,,,,,,,,8.0,8.0,190.0,130.0,2.9,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P035,T2,,B,90,04.04.2026,,,,,,,,5.0,9.0,185.0,137.0,3.4,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P035,T2,,B,90,04.04.2026,,,,,,,,6.0,8.0,195.0,129.0,3.9,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P035,T2,,B,90,04.04.2026,,,,,,,,4.0,9.0,215.0,135.0,3.4,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P036,T3,,C,90,04.04.2026,,,,,,,,11.0,9.0,205.0,117.0,3.2,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P036,T3,,C,90,04.04.2026,,,,,,,,8.0,10.0,190.0,130.0,3.7,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P036,T3,,C,90,04.04.2026,,,,,,,,4.0,8.0,200.0,125.0,4.0,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P036,T3,,C,90,04.04.2026,,,,,,,,6.0,9.0,185.0,132.0,3.1,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P036,T3,,C,90,04.04.2026,,,,,,,,7.0,9.0,182.0,122.0,3.5,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P037,T4,,D,90,04.04.2026,,,,,,,,6.0,9.0,175.0,105.0,2.8,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P037,T4,,D,90,04.04.2026,,,,,,,,5.0,8.0,189.0,128.0,3.9,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P037,T4,,D,90,04.04.2026,,,,,,,,11.0,9.0,205.0,120.0,3.5,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P037,T4,,D,90,04.04.2026,,,,,,,,8.0,9.0,192.0,117.0,2.9,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P037,T4,,D,90,04.04.2026,,,,,,,,4.0,8.0,201.0,112.0,3.2,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P038,T5,,E,90,04.04.2026,,,,,,,,5.0,9.0,220.0,142.0,3.9,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P038,T5,,E,90,04.04.2026,,,,,,,,7.0,10.0,215.0,140.0,4.1,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P038,T5,,E,90,04.04.2026,,,,,,,,11.0,9.0,225.0,135.0,3.3,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P038,T5,,E,90,04.04.2026,,,,,,,,8.0,9.0,201.0,139.0,3.5,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P038,T5,,E,90,04.04.2026,,,,,,,,9.0,9.0,211.0,132.0,3.8,,anthiyur_biometric_observations.xlsx,90 DAY
L003,P034,T1,,A,100,15.04.2026,,,,,,,,9.0,9.0,252.0,139.0,4.4,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P034,T1,,A,100,15.04.2026,,,,,,,,6.0,8.0,270.0,142.0,4.9,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P034,T1,,A,100,15.04.2026,,,,,,,,7.0,9.0,259.0,155.0,3.9,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P034,T1,,A,100,15.04.2026,,,,,,,,5.0,9.0,262.0,140.0,3.5,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P034,T1,,A,100,15.04.2026,,,,,,,,11.0,8.0,242.0,143.0,3.0,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P035,T2,,B,100,15.04.2026,,,,,,,,9.0,9.0,242.0,132.0,3.3,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P035,T2,,B,100,15.04.2026,,,,,,,,8.0,9.0,252.0,129.0,3.0,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P035,T2,,B,100,15.04.2026,,,,,,,,7.0,8.0,249.0,145.0,3.9,,anthiyur_biometric_observations.xlsx,100 DAY
L003,P035,T2,,B,100,15.04.2026,,,,,,,,10.0,9.0,265.0,139.0,3.5,,anthiyur_biometric_observations.xlsx,100 DAY
